symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
TRXUSDT,1d,0.3676,0.3135992247696324,0.34458805575842044,SELL,11.181821465494373,27.433136679759706,9.124545120833597,-1.2971475347899997,1,1.5,100,True,100,720,2025-08-14T08:55:08.728386
NEARUSDT,1d,2.988,2.0481031882594865,2.927560725931934,HOLD,3.615796911302264,33.294854020643804,3.791398848756525,-17.117483560436575,1,1.5,100,True,100,720,2025-08-14T08:55:09.420794
SYNUSDT,1d,0.1512,0.03902087983508271,0.14712427302687023,HOLD,1.479012985839585,41.93162721147057,2.618065666525186,-22.706363404037823,1,1.5,100,True,100,720,2025-08-14T08:55:10.377556
ADXUSDT,1d,0.1507,0.08604398483635692,0.1361410956916959,SELL,41.649271099717275,76.96489951978972,7.278045352494463,-5.414656916135064,1,1.5,100,True,100,720,2025-08-14T08:55:11.051438
AXSUSDT,1d,2.613,1.9078057756841025,2.633298191312595,HOLD,3.738504227568342,74.971308486663,6.305944822914458,-5.169073617470921,1,1.5,100,True,100,720,2025-08-14T08:55:12.012571
BONKUSDT,1d,2.713e-05,1.9908885349454563e-05,3.5805260723152696e-05,HOLD,25.002315416806425,143.1817515702787,6.538469861492928,-0.25941524203616506,1,1.5,100,True,100,609,2025-08-14T08:55:12.690573
WBTCUSDT,1d,121848.09,113804.88599399712,122817.5618212504,HOLD,1.8696054952372858,12.965661435254594,5.0326279652184045,-0.8964144267210039,1,1.5,100,True,100,720,2025-08-14T08:55:13.363973
FXSUSDT,1d,3.099,2.0354750255914285,3.5678887433854696,HOLD,13.866366993855545,81.34084092069334,4.965733888846704,-2.367039714766761,1,1.5,100,True,100,720,2025-08-14T08:55:14.332610
LDOUSDT,1d,1.447,0.766486854816148,1.2048303438370511,SELL,46.84557178806186,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T08:55:15.297449
BNTUSDT,1d,0.8428,0.6365920729362206,0.8321388399350659,HOLD,1.292584469649669,73.9087096794721,4.380659824091772,-21.936015378278196,1,1.5,100,True,100,720,2025-08-14T08:55:16.264228
MATICUSDT,1d,0.3794,0.32345658644294556,0.4436979653722359,HOLD,13.638974090098369,-0.03333260012891026,0.10744881414013442,-24.33717044188638,1,1.5,100,True,100,382,2025-08-14T08:55:16.917959
XLMUSDT,1d,0.4561,0.3270169249618286,0.5029604816388311,HOLD,12.650170587446485,95.29781393989197,4.791155243055898,-1.2131004461911177,1,1.5,100,True,100,720,2025-08-14T08:55:17.599007
PEPEUSDT,1d,1.216e-05,9.050714152855226e-06,1.330786525308536e-05,HOLD,11.17681915693702,63.90065928748565,2.925954409175659,-32.79943302622254,1,1.5,100,True,100,720,2025-08-14T08:55:18.314714
AAVEUSDT,1d,333.92,276.9766445481074,334.3451943744517,HOLD,5.2916446877741095,19.553638030992417,3.883477301398307,-2.813954319027445,1,1.5,100,True,100,720,2025-08-14T08:55:19.867853
CVXUSDT,1d,4.474,3.086519310005584,5.252649937519169,HOLD,17.856981186482894,117.8012333440074,5.646561348476287,-4.019059096909549,1,1.5,100,True,100,720,2025-08-14T08:55:20.836874
RLCUSDT,1d,1.046,0.7821825768294646,1.1069354099692148,HOLD,8.416788439688041,31.56476485079942,5.437552093008125,-3.266007735281462,1,1.5,100,True,100,720,2025-08-14T08:55:21.802350
IMXUSDT,1d,0.627,0.3605405831079727,0.6070105984101792,HOLD,0.6985067037457255,44.95258637722146,3.709371013080904,-19.916613213598456,1,1.5,100,True,100,720,2025-08-14T08:55:22.752681
DOTUSDT,1d,4.292,3.0115015615049883,4.201303131564319,HOLD,1.849772886407728,29.217519070966034,5.241218217027065,-2.6823431105478135,1,1.5,100,True,100,720,2025-08-14T08:55:23.431107
SUIUSDT,1d,4.0425,2.81966719189004,4.1190068998591345,HOLD,5.832654158765008,40.71157115874608,3.9910670987385477,-14.459158409700946,1,1.5,100,True,100,720,2025-08-14T08:55:24.113108
ACAUSDT,1d,0.0301,0.022019972035943997,0.030740239185178098,HOLD,3.712008047159575,19.039018736720116,2.7983151811014677,-12.96774193548389,1,1.5,100,True,100,720,2025-08-14T08:55:24.833068
ADAUSDT,1d,1.0156,0.5923318546785471,0.8533719756244839,HOLD,3.5042664011842457,48.50761462532886,5.959454596712279,-2.4752701933100085,1,1.5,100,True,100,720,2025-08-14T08:55:25.517643
BCHUSDT,1d,614.5,551.3657652233094,600.2233331265259,HOLD,0.08726582066463448,40.114289258304936,6.513273546728678,-2.683522705239083,1,1.5,100,True,100,720,2025-08-14T08:55:27.157461
BATUSDT,1d,0.1628,0.12689624804676775,0.16948192423046,HOLD,7.744389211989826,29.11822637895465,3.930540173840562,-10.865118517627225,1,1.5,100,True,100,720,2025-08-14T08:55:27.839342
STRKUSDT,1d,0.1467,0.09392284777267179,0.14021792318442403,SELL,33.02706234122091,66.26446641266728,4.129706055913519,-20.747458092882663,1,1.5,100,True,100,542,2025-08-14T08:55:28.514922
ENJUSDT,1d,0.0782,0.05695132403899186,0.08163384295770779,HOLD,8.67124994370045,32.62518279116438,5.212374543347242,-2.7761194029850667,1,1.5,100,True,100,720,2025-08-14T08:55:29.211555
